"setNumber","setName","ageGroup","rating","themeGroup","theme","subtheme","pieces","minifigs","RRP","PPP","yearReleased","packaging","availability","instructions","setType"
"10570-1","All-in-One Gift Set","1 - 5",NA,"Pre-school","Duplo",NA,"30",NA,"$14.99, 17.99€ |","50.0c, 60.0c","2014","Bucket","Retail","Yes","Normal"
"10571-1","All-in-One-Pink-Box-of-Fun","1 - 5",NA,"Pre-school","Duplo",NA,"65","1 ","$29.99, 29.99€ |","46.1c, 46.1c","2014","Tub","Retail","Yes","Normal"
"10572-1","All-in-One-Box-of-Fun","1 - 5","3.6","Pre-school","Duplo",NA,"65","1 ","$29.99, 29.23€ |","46.1c, 45.0c","2014","Tub","Retail","Yes","Normal"
"10573-1","Creative Animals","1 - 5",NA,"Pre-school","Duplo",NA,"25",NA,"$14.99, 14.99€ |","60.0c, 60.0c","2014","Box","Retail",NA,"Normal"
"10574-1","Creative Ice Cream","1 - 5",NA,"Pre-school","Duplo",NA,"24",NA,"$14.99, 14.99€ |","62.5c, 62.5c","2014","Box","Retail","Yes","Normal"
"10575-1","Creative Building Cube","1 - 5",NA,"Pre-school","Duplo",NA,"75",NA,"$29.99 |","40.0c","2014","Box","Retail","Yes","Normal"
"10576-1","Zoo Care","2 - 5",NA,"Pre-school","Duplo",NA,"9","1 ","$6.99 |","77.7c","2014","Box","Retail",NA,"Normal"
"10577-1","Big Royal Castle","2 - 5",NA,"Pre-school","Duplo",NA,"135","4 (1 Unique to this set)","$59.99, 59.99€ |","44.4c, 44.4c","2014","Box","Retail","Yes","Normal"
"10579-1","Clubhouse Cafe","1 - 5",NA,"Pre-school","Duplo","Mickey Mouse Clubhouse","16",NA,"$12.99, 14.99€ |","81.2c, 93.7c","2014","Box","Retail",NA,"Normal"
"10580-1","Deluxe Box of Fun","1 - 5",NA,"Pre-school","Duplo",NA,"95","2 ","$49.99, 44.99€ |","52.6c, 47.4c","2014","Box","Retail","Yes","Normal"
"10665-1","Spider-Man: Spider-Car Pursuit","4 - 7","3.1","Junior","Juniors","Marvel Super Heroes","55","2 (1 Unique to this set)","$12.99, 12.99€ |","23.6c, 23.6c","2014","Box","Retail","Yes","Normal"
"10666-1","Digger","4 - 7","3.8","Junior","Juniors","City","75","1 ","$9.99 |","13.3c","2014","Box","Retail","Yes","Normal"
"10667-1","Construction","4 - 7","3.7","Junior","Juniors","City","160","1 (1 Unique to this set)","$14.99, 17.99€ |","9.4c, 11.2c","2014","Bucket","Retail","Yes","Normal"
"10668-1","The Princess Play Castle","4 - 7","3.2","Junior","Juniors","Fantasy","150","1 (1 Unique to this set)","$14.99, 17.99€ |","10.0c, 12.0c","2014","Bucket","Retail","Yes","Normal"
"10669-1","Turtle Lair","4 - 7",NA,"Junior","Juniors","Teenage Mutant Ninja Turtles","107","2 (1 Unique to this set)","$19.99, 19.99€ |","18.7c, 18.7c","2014","Box","Retail","Yes","Normal"
"10671-1","Fire Emergency","4 - 7",NA,"Junior","Juniors","City","123","2 (2 Unique to this set)","$19.99, 19.99€ |","16.3c, 16.3c","2014","Box","Retail - limited","Yes","Normal"
"10672-1","Batman: Defend the Batcave","4 - 7","3.7","Junior","Juniors","DC Comics Super Heroes","150","3 ","$29.99, 32.99€ |","20.0c, 22.0c","2014","Box","Retail","Yes","Normal"
"10673-1","Race Car Rally","4 - 7",NA,"Junior","Juniors","City","350","2 (2 Unique to this set)","$29.99, 29.99€ |","8.6c, 8.6c","2014","Tub","Retail","Yes","Normal"
"10674-1","Pony Farm","4 - 7",NA,"Junior","Juniors","Girl","306","1 (1 Unique to this set)","$29.99, 29.99€ |","9.8c, 9.8c","2014","Tub","Retail","Yes","Normal"
"10675-1","Police – The Big Escape","4 - 7",NA,"Junior","Juniors","City","146","3 (3 Unique to this set)","$29.99, 29.99€ |","20.5c, 20.5c","2014","Box","Retail","Yes","Normal"
"10676-1","Knights' Castle","4 - 7","3.9","Junior","Juniors","Fantasy","480","4 (4 Unique to this set)","$49.99, 44.99€ |","10.4c, 9.4c","2014","Box","Retail","Yes","Normal"
"10681-1","Creative Building Cube","4 - 99",NA,"Basic","Bricks and More",NA,"600",NA,NA,NA,"2014","Box","Retail","Yes","Normal"
"10682-1","Creative Suitcase","4 - 99",NA,"Basic","Bricks and More",NA,"1000",NA,"$59.99, 39.99€ |","6.0c, 4.0c","2014","Box","Retail",NA,"Normal"
"21019-1","The Eiffel Tower","12+","3.9","Model making","Architecture","Landmark Series","321",NA,"$34.99, 34.99€ |","10.9c, 10.9c","2014","Box","Retail","Yes","Normal"
"21020-1","Trevi Fountain","12+","4.2","Model making","Architecture","Landmark Series","731",NA,"$49.99, 49.99€ |","6.8c, 6.8c","2014","Box","Retail - limited","Yes","Normal"
"21104-1","NASA Mars Science Laboratory Curiosity Rover","10+","4.2","Miscellaneous","Ideas","NASA","295",NA,"$29.99 |","10.2c","2014","Box","LEGO exclusive","Yes","Normal"
"21107-1","The End","10+","3.1","Licensed","Minecraft","Micro World","440","4 (4 Unique to this set)","$34.99 |","8.0c","2014","Box","Retail - limited","Yes","Normal"
"21108-1","Ghostbusters Ecto-1","10+","4.4","Miscellaneous","Ideas","Licensed","508","4 (4 Unique to this set)","$49.99, 49.99€ |","9.8c, 9.8c","2014","Box","Retail - limited","Yes","Normal"
"21109-1","Exo Suit","12+","4.4","Miscellaneous","Ideas",NA,"321","2 (2 Unique to this set)","$34.99, 34.99€ |","10.9c, 10.9c","2014","Box","Retail - limited","Yes","Normal"
"21110-1","Research Institute","10+","4.0","Miscellaneous","Ideas",NA,"165","3 (3 Unique to this set)","$19.99, 19.99€ |","12.1c, 12.1c","2014","Box","Retail - limited","Yes","Normal"
"21113-1","The Cave","8+","3.7","Licensed","Minecraft","Minifig-scale","249","2 ","$19.99, 19.99€ |","8.0c, 8.0c","2014","Box","Retail - limited","Yes","Normal"
"21114-1","The Farm","8+","3.6","Licensed","Minecraft","Minifig-scale","262","2 ","$29.99, 29.99€ |","11.4c, 11.4c","2014","Box","Retail - limited","Yes","Normal"
